	followers gained	views gained
266	937931	12597698
267	611420	12088817
268	33934	5334974
269	35601	10196789
270	422939	9498624
271	231099	8264182
272	276516	5042158
273	239670	6137521
274	56891	6373121
275	21311	6061013
276	111256	7593615
277	22226	11582229
278	31997	13078873
279	36515	9702348
280	88496	14282662
281	76678	11825287
282	209863	14436062
283	142847	6327518
284	853534	10372182
285	19050	17438467
286	150296	12040488
287	64202	7598192
288	1361824	11557890
289	122976	9056504
290	24660	9771026
291	61578	7205339
292	70491	10299891
293	47998	6918255
294	253025	9283112
295	144455	13149321
296	173059	11626262
297	70818	18148929
298	21094	4224140
299	966445	13982129
300	42773	9112017
301	45817	7775965
302	84477	17789325
303	335814	6398277
304	453297	14810527
305	617126	4054484
306	12748	5765707
307	370771	7994677
308	152838	11255758
309	75839	19379539
310	59713	5424747
311	160493	30695555
312	225206	15923009
313	252306	9677221
314	55443	18620840
315	109521	8819822
316	308987	19113374
317	681102	5607450
318	40523	5213014
319	339656	15673325
320	868150	15048960
321	28644	6494618
322	81357	6044640
323	144548	9239810
324	130664	7185795
325	41551	4250949
326	267526	19371155
327	49440	6995867
328	313237	11081100
329	47900	8165921
330	107638	78682556
331	71900	7405287
332	45221	7835344
333	1087642	7986679
334	90841	4951338
335	31100	6027057
336	828720	11406826
337	63837	11752556
338	71217	12794312
339	21235	3630128
340	39804	14104568
341	226996	12901688
342	179435	5781447
343	56831	24645693
344	166599	9173781
345	81844	8598168
346	177199	4260134
347	74566	6747244
348	805068	21786646
349	96871	15015030
350	35829	7140124
351	90144	10936983
352	125687	12203974
353	384411	6820654
354	38494	6300186
355	257759	12991488
356	184396	8946810
357	343763	16481840
358	89796	2420928
359	13777	5075342
360	37611	5304123
361	76837	4314744
362	455004	11595098
363	160065	4372819
364	188025	10172899
365	555860	4547332
366	44218	8830613
367	687858	12657186
368	75793	14959309
369	14625	11962417
370	33289	64039568
371	445681	11488184
372	50106	4334309
373	296909	9083473
374	418404	10144867
375	185428	5873637
376	171132	2988501
377	125564	4144457
378	85101	5399523
379	67627	4136247
380	22496	10864927
381	961665	7197510
382	22642	9734513
383	97799	3687765
384	27229	9202377
385	252626	8151416
386	786037	5800017
387	66639	12325407
388	490635	4429838
389	60505	11164491
390	12010	11828238
391	267757	13189498
392	39571	4336012
393	21480	9796976
394	35025	8843003
395	51491	11699044
396	68956	3794375
397	263367	8981435
398	1069986	9734922
399	72718	7288049
400	117310	4723525
401	216579	6933138
402	170257	7811950
403	32218	136487413
404	379851	10349752
405	24947	4727583
406	62909	5693134
407	49627	8442308
408	385790	11555194
409	830109	5716572
410	466047	4262000
411	138818	9084397
412	64595	4169955
413	437683	7682035
414	65630	3478295
415	74006	6130339
416	548932	10853987
417	152379	7838146
418	36275	2696969
419	191246	5367695
420	468538	7655261
421	102958	4838271
422	107966	5654129
423	29601	5505516
424	465504	5031284
425	410864	8244755
426	206658	10932106
427	17875	2614841
428	163151	4272065
429	295206	6015552
430	588125	16019574
431	226445	7574167
432	71475	9473966
433	2568	8380306
434	58059	5191584
435	188302	2188043
436	84680	8161209
437	112956	3969613
438	33662	8465762
439	59424	6804439
440	247961	6728698
441	144115	8454785
442	147885	5520952
443	21471	20609063
444	67243	9214949
445	33576	6184735
446	31530	11558457
447	234744	7169142
448	66912	11131595
449	60849	2295366
450	52996	22184385
451	964143	6128899
452	52034	4463192
453	63104	6349511
454	101620	3396093
455	233970	8800180
456	202066	8511427
457	102795	6936940
458	221822	11495012
459	54506	4060952
460	110892	3533503
461	441603	6218498
462	243190	9951250
463	171915	3821688
464	182455	5717878
465	33510	3986605
466	76037	10395161
467	72446	8445688
468	253134	8950818
469	474030	7510236
470	116810	3377152
471	41438	6948365
472	148212	10591832
473	903521	2663752
474	124769	5850305
475	232854	8192763
476	101942	8014201
477	98922	7907952
478	193754	11129057
479	312538	7612758
480	188804	5594139
481	58831	12559138
482	912526	8642094
483	483828	8390374
484	39454	3372711
485	910234	12999027
486	55683	3346017
487	120274	8431405
488	88852	7544315
489	44601	5553918
490	23625	5074841
491	19060	5312015
492	114813	3914235
493	13166	2542228
494	37093	3423743
495	35846	3430580
496	143787	3046902
497	1185647	6513197
498	11175	15449780
499	109805	5719980
500	181013	6485271
501	605573	4711224
502	16417	6440917
503	114233	8156722
504	524678	4153182
505	34730	2989222
506	137508	4124141
507	148177	52098640
508	80351	8387961
509	66275	5904376
510	31351	4238601
511	49838	4376715
512	100197	5794741
513	719884	20092893
514	156933	7717232
515	22747	3514346
516	98896	6094589
517	92223	4429752
518	47460	3667341
519	115646	8963475
520	93390	5894713
521	94377	6127225
522	522977	8502293
523	64045	7055880
524	145152	9203016
525	56772	3951272
526	60132	6830081
527	95541	6103716
528	268574	5048035
529	18935	9064940
530	76659	4328859
531	150225	3962830
532	31848	10303449
533	469125	3008427
534	111673	3522778
535	9933	153950
536	2474036	8740814
537	814372	8919181
538	172130	5015458
539	167618	4984070
540	60759	6694939
541	84052	5803945
542	18459	4779636
543	510720	14336424
544	32237	5537958
545	11951	15380314
546	26889	3980403
547	96215	6149351
548	54411	23478851
549	509850	4992917
550	248338	4644983
551	347734	2336147
552	787459	9582922
553	10647	7326999
554	127965	11315551
555	185286	2773573
556	29201	1899950
557	767314	7782194
558	797857	4145737
559	38667	6647382
560	240764	6669481
561	44794	15339702
562	33102	2889276
563	846610	5329724
564	102955	7330163
565	215979	3445962
566	42075	2937683
567	73542	3061529
568	63284	3690068
569	101704	6054227
570	173013	8641800
571	114296	7015187
572	418992	6907551
573	35785	1853340
574	69239	3491378
575	145090	10182936
576	19136	3240608
577	32094	6367385
578	383211	6029581
579	14898	3682027
580	38486	2460781
581	195911	7477447
582	20632	11188964
583	234539	5431809
584	104760	8321137
585	108659	5321558
586	319590	4993308
587	21372	6222275
588	210828	3506127
589	1689174	4586703
590	23163	2219793
591	73841	10142587
592	2542	1694643
593	97917	7046016
594	167866	5519918
595	63389	2080109
596	35007	3632480
597	179002	3118677
598	124438	6847341
599	105396	6628421
600	41411	7828672
601	32606	3699655
602	305700	13593542
603	48000	60617571
604	303852	9514152
605	68575	10100594
606	72438	6748354
607	414075	11559250
608	133399	2206378
609	107732	5365077
610	226673	9248525
611	44126	2692057
612	207636	7222534
613	60385	10142232
614	21577	91323354
615	34412	7012828
616	175772	3948274
617	52477	5218563
618	180300	3368728
619	15965	3593891
620	124819	2303422
621	786209	3883706
622	64615	2598632
623	151126	4144168
624	49433	5049853
625	14126	1735498
626	63766	5156489
627	877	6333129
628	85555	9792494
629	63091	5141590
630	29219	6076248
631	-788	1659444
632	67207	10044782
633	167675	4402775
634	17997	3154027
635	28090	5044954
636	219629	6112204
637	131329	5887975
638	25009	6615457
639	214338	4935408
640	48552	7058708
641	842449	6677567
642	67918	4538419
643	286578	4690409
644	131573	6728884
645	119920	4878661
646	40171	6018789
647	32300	4048753
648	34628	3591884
649	-21061	3739021
650	19441	4866413
651	105514	6201685
652	260591	3393219
653	49948	4560279
654	29432	2398387
655	229296	3317440
656	58571	5258331
657	20787	7830505
658	8975	2769688
659	3938	2437733
660	632026	4476583
661	11183	5285372
662	106694	3098242
663	174459	9854345
664	83301	4265293
665	46531	2258433
666	93276	6070816
667	113411	4710668
668	97524	3399173
669	575026	4007854
670	47223	2838507
671	915810	6003912
672	143899	4052171
673	43927	82625768
674	415839	8255627
675	9123	3711468
676	42921	4070597
677	217591	6091429
678	15834	2315114
679	142699	4717701
680	77250	12626343
681	71901	6335134
682	140333	14309862
683	152860	2610356
684	30446	3202231
685	260799	5525635
686	7999	1501539
687	162620	4790109
688	170103	4677721
689	218106	5884541
690	118235	5947015
691	27549	5906215
692	14667	9226043
693	33921	5701649
694	119405	1650905
695	24732	4142406
696	57394	5601934
697	328108	4486249
698	107517	2843832
699	108830	7075261
700	54945	4359946
701	83359	6430739
702	27891	4847537
703	144443	2940864
704	298196	3244745
705	116494	7047229
706	30109	2508139
707	67542	2949597
708	713582	4141444
709	46130	5910167
710	8826	1748005
711	98756	4932351
712	185821	6049831
713	215999	5991086
714	4041	6761758
715	35081	8763147
716	418061	5125271
717	28926	4801047
718	252423	5392907
719	255605	1606567
720	23360	14495910
721	34027	4196779
722	130116	2665770
723	153061	6685621
724	107434	4689865
725	39637	3147759
726	158224	2201482
727	96065	3827667
728	9885	2279181
729	330151	10053527
730	24291	8366515
731	69005	6037425
732	253463	5976040
733	14573	2459079
734	324041	5177187
735	751984	7613236
736	27663	3344391
737	19641	3247157
738	27770	6498970
739	445140	5040224
740	67161	5842318
741	110549	7759415
742	138334	7615081
743	-18898	5761634
744	33310	4742806
745	41747	14853266
746	220138	3502363
747	643203	9146275
748	33227	6107590
749	71578	5731269
750	85960	2475829
751	171030	4151835
752	117716	5697193
753	75880	3031848
754	154579	10725720
755	79651	3664851
756	92980	7475986
757	46833	7099049
758	55048	6090683
759	12871	7934453
760	102722	3722185
761	82366	2356957
762	285979	12706478
763	67717	5221940
764	65710	4458135
765	248402	6376898
766	49851	7110270
767	4494	4285635
768	20222	3154984
769	449669	3698162
770	133339	6444188
771	82400	2755386
772	30333	3907932
773	34828	5496346
774	413553	4747424
775	160639	10353043
776	27216	4636420
777	32311	3027376
778	196713	2393936
779	99367	2147588
780	95254	5449137
781	8231	10991770
782	68216	11901016
783	65063	1519166
784	111226	2925630
785	395715	5343403
786	147757	2699556
787	42456	4156391
788	10420	115032876
789	27325	3922503
790	84071	5014511
791	385082	5061854
792	45797	4940736
793	126150	2268382
794	83071	3882686
795	18604	3882050
796	252105	8553795
797	219124	4398948
798	152568	6328924
799	117285	9272625
800	179003	1548158
801	285748	7519095
802	443641	4930913
803	204379	4758780
804	27023	6869175
805	51182	365699
806	75235	7122772
807	126514	7191089
808	26568	7065323
809	166019	11192063
810	159278	3732767
811	14732	4092093
812	118390	4091454
813	49225	3512359
814	215124	5482818
815	8029	3746031
816	228755	4932256
817	272842	7601034
818	250257	1303216
819	30135	4411256
820	142778	3901155
821	922101	3930633
822	26097	1571444
823	67393	2009679
824	270409	5200485
825	76678	3864090
826	351607	5064649
827	161055	7944977
828	134011	4530075
829	30154	5479909
830	194673	2614409
831	424939	4213746
832	244986	3504980
833	46983	5224581
834	30701	6271190
835	2235	2685246
836	42405	6437758
837	147127	3383282
838	59330	4225375
839	37637	3382193
840	324634	9726956
841	246466	2654472
842	138665	3015343
843	57665	9457560
844	27606	5378841
845	80604	2846068
846	273295	3036560
847	27928	4981756
848	63694	6679665
849	380677	5698367
850	11049	4216026
851	208180	6254957
852	232026	5508290
853	8826	2936607
854	140156	4424937
855	41547	2697017
856	413824	1807624
857	18665	2926874
858	13746	1905407
859	40783	2381190
860	68433	3678221
861	10799	3366400
862	37762	7027873
863	14759	2810602
864	251447	6102224
865	25348	2443954
866	35998	4811262
867	177175	5089284
868	417326	3892657
869	43931	1788367
870	13125	54735487
871	36367	3168626
872	14849	3278334
873	174726	3818982
874	68650	2862671
875	26262	2372393
876	27637	2650506
877	281280	5740479
878	1352	3536319
879	12609	3839687
880	99824	7069739
881	64206	3319814
882	39120	3296121
883	58676	2718597
884	11443	4932809
885	5457	2816563
886	156800	2963205
887	14407	2737965
888	61251	4215604
889	50786	10432017
890	118601	3834661
891	329555	8284969
892	133293	2630093
893	389642	2384363
894	130078	3575606
895	101172	2568158
896	64368	1656581
897	109619	4924495
898	962475	4197080
899	37641	4820178
900	66754	6375984
901	24778	2984706
902	8389	2950478
903	131560	1886394
904	76350	2204843
905	83317	4160119
906	1056509	2686879
907	279101	5378443
908	755263	8898346
909	9664	4299481
910	20030	2013443
911	187320	4047713
912	781365	4728693
913	28434	8047674
914	107799	3466014
915	166878	5957985
916	64716	1447211
917	28517	3318247
918	31146	1829085
919	17938	3713971
920	40051	4879565
921	15724	3846215
922	19767	4876911
923	135518	6141096
924	58946	1888804
925	29547	2267138
926	68899	1950439
927	48724	3861393
928	45970	3896767
929	154078	3432820
930	18646	33103542
931	84944	8285070
932	62199	1698384
933	52615	6998756
934	43949	5415638
935	58130	1961862
936	143831	3509798
937	361200	12046474
938	114010	4173869
939	272472	15386273
940	56358	4583112
941	294396	4526208
942	234477	4907081
943	190904	2358774
944	12242	944676
945	22205	2601572
946	81429	3270702
947	99237	46367572
948	87733	3175476
949	378117	5700177
950	420115	1669233
951	84019	8802691
952	206543	2647326
953	32563	1174110
954	34303	4147348
955	61045	1692830
956	1746	4444657
957	197831	4578730
958	73358	3831808
959	22799	5925392
960	29560	5476313
961	30320	8272729
962	17357	2618985
963	415655	3697000
964	28395	2185779
965	123487	2800185
966	178865	2904200
967	9369	4080121
968	80669	3034073
969	74252	4232952
970	55465	5126815
971	33113	3531378
972	26756	2488424
973	65480	8919883
974	49152	2158434
975	43996	2440628
976	16558	2134980
977	291112	3614452
978	148222	2964069
979	324359	7595537
980	66290	2833334
981	25601	2698890
982	13398	6202525
983	103443	2768664
984	112659	3723963
985	388160	3307726
986	43849	2105696
987	122681	2561951
988	33652	1508712
989	79292	3778261
990	22824	3423625
991	52278	1976286
992	223935	3726180
993	56511	1710227
994	15029	1348567
995	7427	2340829
996	12079	2280894
997	19389	1883744
998	23836	2079035
999	33576	3983128
1000	38683	5106875
1001	702320	4149622
1002	63773	1062874
1003	90429	1854804
1004	225284	3997990
1005	142316	35391690
1006	21685	5074898
1007	283891	6440610
1008	16639	4469771
1009	72035	32847342
1010	104973	3306051
1011	55603	1458175
1012	50027	3395135
1013	75593	2370278
1014	21063	5325311
1015	19444	4686623
1016	33816	1806052
1017	61606	6146870
1018	45529	1580818
1019	33416	5858062
1020	118920	1561016
1021	57145	6507817
1022	323681	13367208
1023	254722	6517271
1024	9626	1914689
1025	89386	3555382
1026	8039	1566730
1027	48982	3323582
1028	56879	4851825
1029	54381	2498321
1030	42774	7335114
1031	29843	3109023
1032	128322	3707259
1033	361519	1847763
1034	17928	2648684
1035	23623	2686147
1036	63240	2793481
1037	18184	3538433
1038	9240	4695425
1039	13270	2575173
1040	22567	6718662
1041	55543	3034341
1042	155024	4876013
1043	172411	4050664
1044	29143	986584
1045	39829	8232341
1046	137962	8215263
1047	130461	2651493
1048	381297	2887540
1049	71277	1322199
1050	95844	3125621
1051	40915	2969471
1052	7101	21322548
1053	74107	4978755
1054	70011	9810358
1055	30706	7813305
1056	69113	1338301
1057	102604	3042161
1058	14020	4802063
1059	237074	3870178
1060	5970	3390567
1061	47221	7199478
1062	55933	2258046
1063	45880	2814591
1064	141182	2857504
1065	271863	5448173
1066	84473	1512753
1067	228582	4289423
1068	279120	3695007
1069	343441	4369056
1070	61755	6936030
1071	147378	3370422
1072	278362	1263586
1073	67808	8540217
1074	279402	4057550
1075	75135	4529956
1076	31891	6391883
1077	29827	1725059
1078	32586	851138
1079	17433	4407609
1080	82581	1329320
1081	10240	1234081
1082	33838	955445
1083	245345	14938632
1084	18726	2040982
1085	414180	5784962
1086	114809	1655995
1087	19965	2491621
1088	48651	1396116
1089	16059	2718262
1090	72062	2440264
1091	9421	15435848
1092	16683	4400862
1093	30964	2630013
1094	117403	1817552
1095	165221	3849811
1096	135119	4033592
1097	36266	3007363
1098	42196	7475465
1099	238494	3016844
1100	75261	2963250
1101	553470	3441991
1102	55329	3040667
1103	37491	1136744
1104	20665	1603049
1105	138100	7020809
1106	218807	3998996
1107	762768	2940544
1108	5504	2204014
1109	26095	7310078
1110	478263	8910332
1111	98424	11427658
1112	105181	2926778
1113	17140	4048103
1114	31135	3387082
1115	25546	3541080
1116	180757	2500180
1117	23275	9957872
1118	20322	2118628
1119	72930	3180470
1120	25839	1754161
1121	4095	1814890
1122	82576	2340429
1123	174140	3664366
1124	39887	2415247
1125	106749	4643408
1126	19558	5007063
1127	56696	3334105
1128	74608	3194124
1129	9297	1973999
1130	84094	1523110
1131	236995	4285249
1132	92755	3534034
1133	236299	2254547
1134	3029	18727444
1135	53700	2465225
1136	38708	5666477
1137	147705	4516889
1138	412931	3818267
1139	66959	16043420
1140	115352	6219605
1141	151252	6674737
1142	171308	4993567
1143	48199	1788036
1144	165598	3584984
1145	129743	5153815
1146	47217	2828578
1147	168330	1594336
1148	99034	4523804
1149	81339	1354931
1150	5517	1784671
1151	53590	2331791
1152	52750	2272731
1153	10911	1280235
1154	75450	2280118
1155	4550	3189623
1156	16527	44197174
1157	14941	3602336
1158	111921	2044633
1159	304207	6876352
1160	12818	1866065
1161	316328	3587961
1162	185267	3414216
1163	41799	7655992
1164	34758	6779266
1165	59329	1360115
1166	11110	9702711
1167	227360	2519788
1168	149455	3174971
1169	15313	3650391
1170	8146	85061422
1171	8263	3595170
1172	196731	6433989
1173	110316	1986601
1174	499844	5171462
1175	10986	378632
1176	267232	2713645
1177	153979	3771504
1178	-7826	3213147
1179	77191	4870469
1180	54513	5658769
1181	104455	1734534
1182	22066	2135909
1183	227657	2741982
1184	231963	2173755
1185	63343	1267850
1186	29803	2338863
1187	16162	1706522
1188	144069	3644877
1189	10888	7783236
1190	211844	3279982
1191	142114	1585512
1192	83863	2168923
1193	25206	1908850
1194	30321	5281145
1195	240827	2306643
1196	61107	836617
1197	76492	2260890
1198	121070	3094259
1199	15967	1619618
1200	18642	1424846
1201	43201	8989809
1202	52973	6395372
1203	5164	2027223
1204	215626	3802948
1205	29732	1784216
1206	309464	3767139
1207	86452	2483067
1208	113867	4095401
1209	358790	10691480
1210	101887	2935117
1211	492236	4561005
1212	9773	9157862
1213	91533	3339913
1214	170456	2928720
1215	193277	5983720
1216	18212	2530140
1217	17031	5276635
1218	68962	3341407
1219	18511	2882318
1220	104961	2339896
1221	220025	3745434
1222	207994	3065439
1223	376327	2105021
1224	11080	3644603
1225	32657	4482411
1226	38143	6679605
1227	31959	2250321
1228	8822	7690420
1229	167756	20005520
1230	585001	4250061
1231	2676	1510365
1232	42314	1625789
1233	242485	3173066
1234	6311	818071
1235	335021	3797155
1236	77841	1488561
1237	124070	3074672
1238	27012	3042287
1239	38851	7083721
1240	41251	1275524
1241	2205	1188386
1242	18844	1524281
1243	452541	3399445
1244	309131	3894680
1245	10991	3227454
1246	33463	1633376
1247	67907	4803187
1248	149352	1489939
1249	3046	2419101
1250	2128	743752
1251	25827	1719026
1252	21214	4666832
1253	37240	3722297
1254	24298	1391424
1255	43277	1775749
1256	35678	3498169
1257	24816	1892782
1258	134379	2056152
1259	197626	22651541
1260	27261	5722081
1261	39036	2331120
1262	55617	2548140
1263	141167	3810913
1264	29930	4263769
1265	9897	986418
1266	18188	12972231
1267	133517	1288190
1268	15482	4632883
1269	8575	3136535
1270	39185	7144220
1271	36153	3451142
1272	79094	1310324
1273	44165	1786435
1274	55500	3148203
1275	141269	2484276
1276	29423	3284801
1277	14437	6661926
1278	191437	7083694
1279	9544	2546370
1280	395463	1877315
1281	29087	5460656
1282	12935	4069702
1283	40331	1975266
1284	60	1031735
1285	146341	3264379
1286	19291	99870
1287	14490	2430776
1288	63463	3957755
1289	26171	17309920
1290	31896	2687886
1291	195226	2836490
1292	29014	4052483
1293	127453	10208360
1294	58048	3141740
1295	19021	1496671
1296	45070	3366717
1297	659322	1888150
1298	91472	3032162
1299	195964	3757227
1300	18897	2040119
1301	54272	2692774
1302	132307	3017061
1303	72252	1527927
1304	81084	1896032
1305	80102	6909631
1306	20006	2521028
1307	220724	2333701
1308	13566	2565987
1309	86083	3150264
1310	130598	2716234
1311	16857	2536242
1312	24675	1900214
1313	28963	5749326
1314	-2026	1828800
1315	127373	2185250
1316	9841	4140542
1317	4459	1280032
1318	144004	2427048
1319	12575	3498866
1320	9800	1647219
1321	5862	860989
1322	99938	1545166
1323	121266	4479131
1324	18957	1904108
1325	20019	2916623
1326	91101	3880394
1327	15969	6983733
1328	50578	2372224
1329	41443	3809250
1330	66976	2994380
1331	105950	3499887
1332	28874	2690065
1333	22138	1010211
1334	4506	4676792
1335	15771	3932679
1336	604432	2140748
1337	57228	1487382
1338	43028	3954998
1339	60633	1454619
1340	19624	1204284
1341	16446	2729566
1342	69007	1744296
1343	77979	2401201
1344	49103	5010416
1345	246948	2253326
1346	86434	2480293
1347	187582	2394713
1348	19905	4029112
1349	21330	3004021
1350	8009	1631794
1351	82500	5061640
1352	43169	2757395
1353	121091	4713279
1354	26304	1842969
1355	11603	1344117
1356	86721	1065802
1357	33597	1683688
1358	3709	2088680
1359	28140	1880738
1360	23305	2686605
1361	13739	1371334
1362	189401	3709931
1363	143365	1048752
1364	134877	6744477
1365	16587	3916474
1366	27650	4194574
1367	380175	2884649
1368	35552	5862176
1369	56603	4831506
1370	12245	3031174
1371	2076	8895315
1372	523663	2194124
1373	62177	2595451
1374	35980	1265684
1375	15689	14626372
1376	24643	2344945
1377	100441	2532928
1378	25193	1691221
1379	4443	937777
1380	25834	5085207
1381	49359	3434544
1382	217038	2829138
1383	15750	1450546
1384	97836	3137319
1385	21887	3354760
1386	12347	2041635
1387	54986	3156187
1388	39877	1224232
1389	12427	8825779
1390	163916	2776496
1391	15885	3874872
1392	82810	2101527
1393	45910	8211399
1394	120591	3753679
1395	281256	4690155
1396	181761	2843609
1397	54737	1829805
1398	97195	1420641
1399	11536	2056780
1400	14684	4105513
1401	64796	1524379
1402	21487	1535251
1403	30230	5894148
1404	55637	1713960
1405	27171	2229783
1406	30044	3128188
1407	257196	3729023
1408	16591	4461734
1409	433571	7530530
1410	11223	2774822
1411	236427	2857515
1412	32360	1798229
1413	93568	1579421
1414	3814	2701350
1415	5697	1036022
1416	99010	1086156
1417	12576	1855102
1418	69033	3128536
1419	206174	7242911
1420	20861	4419679
1421	89259	3149061
1422	31643	1141481
1423	44687	5515211
1424	20501	2562847
1425	9786	928435
1426	49519	2978724
1427	124053	3601467
1428	12957	1644978
1429	44792	1826825
1430	18096	1192374
1431	180616	8430716
1432	213992	5129064
1433	28437	1116447
1434	100764	1757259
1435	33704	1151757
1436	4114	2727808
1437	55051	3105442
1438	20634	2498641
1439	177799	1892364
1440	129600	3388459
1441	138923	3220392
1442	50560	1960527
1443	41227	1679527
1444	7789	1189482
1445	70361	2328321
1446	449371	7299122
1447	36586	5743705
1448	101605	7197433
1449	205165	4173349
1450	66620	2345753
1451	97340	2560070
1452	13646	1356198
1453	14095	11722826
1454	303179	3753176
1455	66153	3384469
1456	23033	4336710
1457	11511	3044145
1458	31479	2624157
1459	24507	1387782
1460	16801	2151047
1461	15998	3422415
1462	83023	6539854
1463	19263	1608530
1464	155640	2813545
1465	16554	8758945
1466	43740	2352626
1467	28242	7395580
1468	57736	2002107
1469	39742	2097881
1470	348481	2585008
1471	21296	5926675
1472	9084	1063146
1473	40801	1388941
1474	6378	1745544
1475	17689	1664553
1476	394209	1601521
1477	222298	3490292
1478	181826	2532418
1479	88155	2768637
1480	19400	672899
1481	28955	2116404
1482	19291	5147341
1483	69635	4062175
1484	53934	2471705
1485	37179	3031618
1486	201113	3970657
1487	35289	2685257
1488	43697	1092475
1489	162076	2890341
1490	28024	2476706
1491	256657	3825426
1492	31896	4086687
1493	32695	2681093
1494	25983	4833529
